Token(tokenType=INT, value=int, location=1, lineNum=1)
Token(tokenType=IDENTIFIER, value=m, location=5, lineNum=1)
Token(tokenType=EQ, value==, location=8, lineNum=1)
Token(tokenType=INT_NUM, value=1, location=8, lineNum=1)
Token(tokenType=SEMICOLON, value=;, location=10, lineNum=1)
Token(tokenType=INT, value=int, location=1, lineNum=2)
Token(tokenType=IDENTIFIER, value=n, location=5, lineNum=2)
Token(tokenType=EQ, value==, location=8, lineNum=2)
Token(tokenType=INT_NUM, value=2, location=8, lineNum=2)
Token(tokenType=SEMICOLON, value=;, location=10, lineNum=2)
Token(tokenType=INT, value=int, location=1, lineNum=3)
Token(tokenType=IDENTIFIER, value=s, location=5, lineNum=3)
Token(tokenType=EQ, value==, location=8, lineNum=3)
Token(tokenType=INT_NUM, value=0, location=8, lineNum=3)
Token(tokenType=SEMICOLON, value=;, location=10, lineNum=3)
Token(tokenType=IF, value=if, location=1, lineNum=4)
Token(tokenType=LP, value=(, location=4, lineNum=4)
Token(tokenType=LP, value=(, location=5, lineNum=4)
Token(tokenType=IDENTIFIER, value=m, location=6, lineNum=4)
Token(tokenType=EQEQ, value===, location=9, lineNum=4)
Token(tokenType=INT_NUM, value=1, location=10, lineNum=4)
Token(tokenType=IDENTIFIER, value=and, location=12, lineNum=4)
Token(tokenType=IDENTIFIER, value=n, location=17, lineNum=4)
Token(tokenType=EQEQ, value===, location=20, lineNum=4)
Token(tokenType=INT_NUM, value=2, location=21, lineNum=4)
Token(tokenType=RP, value=), location=23, lineNum=4)
Token(tokenType=IDENTIFIER, value=or, location=24, lineNum=4)
Token(tokenType=IDENTIFIER, value=m, location=28, lineNum=4)
Token(tokenType=EQEQ, value===, location=31, lineNum=4)
Token(tokenType=INT_NUM, value=3, location=32, lineNum=4)
Token(tokenType=RP, value=), location=34, lineNum=4)
Token(tokenType=LCP, value={, location=36, lineNum=4)
Token(tokenType=IDENTIFIER, value=s, location=1, lineNum=5)
Token(tokenType=EQ, value==, location=5, lineNum=5)
Token(tokenType=INT_NUM, value=1, location=5, lineNum=5)
Token(tokenType=SEMICOLON, value=;, location=7, lineNum=5)
Token(tokenType=RETURN, value=return, location=1, lineNum=6)
Token(tokenType=IDENTIFIER, value=s, location=9, lineNum=6)
Token(tokenType=RCP, value=}, location=1, lineNum=7)
Token(tokenType=ELSE, value=else, location=2, lineNum=7)
Token(tokenType=LCP, value={, location=8, lineNum=7)
Token(tokenType=RETURN, value=return, location=1, lineNum=8)
Token(tokenType=IDENTIFIER, value=s, location=9, lineNum=8)
Token(tokenType=RCP, value=}, location=1, lineNum=9)
Token(tokenType=INT, value=int, location=1, lineNum=10)
Token(tokenType=IDENTIFIER, value=x, location=5, lineNum=10)
Token(tokenType=INT, value=int, location=1, lineNum=11)
Token(tokenType=IDENTIFIER, value=x1, location=5, lineNum=11)
Token(tokenType=INT, value=int, location=1, lineNum=12)
Token(tokenType=IDENTIFIER, value=a1a1a1, location=5, lineNum=12)
Token(tokenType=INT, value=int, location=1, lineNum=13)
Token(tokenType=IDENTIFIER, value=ab_cd, location=5, lineNum=13)
Token(tokenType=IF, value=if, location=1, lineNum=14)
Token(tokenType=LP, value=(, location=4, lineNum=14)
Token(tokenType=IDENTIFIER, value=x, location=5, lineNum=14)
Token(tokenType=EQEQ, value===, location=8, lineNum=14)
Token(tokenType=INT_NUM, value=1, location=9, lineNum=14)
Token(tokenType=RP, value=), location=11, lineNum=14)
Token(tokenType=LCP, value={, location=13, lineNum=14)
Token(tokenType=FLOAT, value=float, location=1, lineNum=15)
Token(tokenType=IDENTIFIER, value=f, location=8, lineNum=15)
Token(tokenType=EQ, value==, location=11, lineNum=15)
Token(tokenType=FLOAT_NUM, value=3.22, location=11, lineNum=15)
Token(tokenType=SEMICOLON, value=;, location=16, lineNum=15)
Token(tokenType=RETURN, value=return, location=1, lineNum=16)
Token(tokenType=IDENTIFIER, value=f, location=9, lineNum=16)
Token(tokenType=RCP, value=}, location=1, lineNum=17)
Token(tokenType=ELSE, value=else, location=2, lineNum=17)
Token(tokenType=LCP, value={, location=8, lineNum=17)
Token(tokenType=FOR, value=for, location=1, lineNum=18)
Token(tokenType=LP, value=(, location=6, lineNum=18)
Token(tokenType=SEMICOLON, value=;, location=7, lineNum=18)
Token(tokenType=IDENTIFIER, value=x, location=8, lineNum=18)
Token(tokenType=LT, value=<, location=12, lineNum=18)
Token(tokenType=INT_NUM, value=10, location=12, lineNum=18)
Token(tokenType=SEMICOLON, value=;, location=15, lineNum=18)
Token(tokenType=IDENTIFIER, value=x, location=16, lineNum=18)
Token(tokenType=INT_NUM, value=1, location=19, lineNum=18)
Token(tokenType=RP, value=), location=20, lineNum=18)
Token(tokenType=LCP, value={, location=22, lineNum=18)
Token(tokenType=IDENTIFIER, value=x1, location=1, lineNum=19)
Token(tokenType=EQ, value==, location=6, lineNum=19)
Token(tokenType=IDENTIFIER, value=x1, location=6, lineNum=19)
Token(tokenType=ADDITION, value=+, location=10, lineNum=19)
Token(tokenType=INT_NUM, value=1, location=11, lineNum=19)
Token(tokenType=SEMICOLON, value=;, location=13, lineNum=19)
Token(tokenType=RCP, value=}, location=2, lineNum=20)
Token(tokenType=RETURN, value=return, location=1, lineNum=21)
Token(tokenType=IDENTIFIER, value=x1, location=9, lineNum=21)
Token(tokenType=RCP, value=}, location=1, lineNum=22)
Token(tokenType=IDENTIFIER, value=mvn, location=2, lineNum=22)
